stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
s7002,s7002,Ferndale,,39.183651,-76.640160,,,1,,America/New_York,1
s7003,s7003,BWI Airport,,39.182827,-76.669823,,,1,,America/New_York,1
s7004,s7004,BWI Business District,,39.191429,-76.673210,,,1,,America/New_York,1
s7005,s7005,Linthicum,,39.202332,-76.655357,,,1,,America/New_York,1
s7006,s7006,North Linthicum,,39.214344,-76.646080,,,1,,America/New_York,1
s7007,s7007,Nursery Road,,39.221573,-76.641403,,,1,,America/New_York,1
s7008,s7008,Baltimore Highlands,,39.235123,-76.632927,,,1,,America/New_York,1
s7009,s7009,Patapsco,,39.241997,-76.629974,,,1,,America/New_York,1
s7010,s7010,Cherry Hill,,39.256016,-76.634933,,,1,,America/New_York,1
s7011,s7011,Westport,,39.261829,-76.632126,,,1,,America/New_York,1
s7012,s7012,Hamburg Street,,39.278946,-76.619904,,,1,,America/New_York,1
s7013,s7013,Camden Station,,39.283745,-76.619713,,,1,,America/New_York,1
s7014,s7014,Convention Center,,39.285789,-76.619392,,,1,,America/New_York,1
s7015,s7015,Baltimore Arena (University Center),,39.288818,-76.619461,,,1,,America/New_York,1
s7016,s7016,Lexington Market,,39.292255,-76.619621,,,1,,America/New_York,1
s7017,s7017,Mt. Vernon (Centre Street),,39.296818,-76.619957,,,1,,America/New_York,1
s7018,s7018,Cultural Center / State Center,,39.303680,-76.620453,,,1,,America/New_York,1
s7019,s7019,Mt. Royal / MICA,,39.307499,-76.619888,,,1,,America/New_York,1
s7020,s7020,Penn Station,,39.307823,-76.616173,,,1,,America/New_York,1
s7021,s7021,North Avenue,,39.311878,-76.622589,,,1,,America/New_York,1
s7022,s7022,Woodberry,,39.331200,-76.643417,,,1,,America/New_York,1
s7023,s7023,Cold Spring Lane,,39.344097,-76.647903,,,1,,America/New_York,1
s7024,s7024,Mt. Washington,,39.368462,-76.652176,,,1,,America/New_York,1
s7025,s7025,Falls Road,,39.376640,-76.649727,,,1,,America/New_York,1
s7026,s7026,Lutherville,,39.428959,-76.627144,,,1,,America/New_York,1
s7027,s7027,Timonium,,39.433868,-76.628181,,,1,,America/New_York,1
s7028,s7028,Fairgrounds,,39.448555,-76.634926,,,1,,America/New_York,1
s7029,s7029,Warren Road,,39.475903,-76.653755,,,1,,America/New_York,1
s7030,s7030,Gilroy Road,,39.482162,-76.661728,,,1,,America/New_York,1
s7031,s7031,McCormick Road,,39.489548,-76.658943,,,1,,America/New_York,1
s7032,s7032,Pepper Road,,39.492107,-76.656273,,,1,,America/New_York,1
s7033,s7033,Hunt Valley,,39.496288,-76.654289,,,1,,America/New_York,1
